campaign_id,channel,conversion_rate_pct
EM-01,Email,5.11
EM-02,Email,5.11
EM-03,Email,5.18
EM-04,Email,5.37
EM-05,Email,4.85
EM-06,Email,4.99
EM-07,Email,5.23
EM-08,Email,5.38
SE-01,Search,4.75
SE-02,Search,4.7
SE-03,Search,4.77
SE-04,Search,4.53
SE-05,Search,4.61
SE-06,Search,4.84
SE-07,Search,4.64
SE-08,Search,4.26
SO-01,Social,5.82
SO-02,Social,6.04
SO-03,Social,6.12
SO-04,Social,6.08
SO-05,Social,6.38
SO-06,Social,6.28
SO-07,Social,6.17
SO-08,Social,6.15
PA-01,Partner,5.44
PA-02,Partner,5.52
PA-03,Partner,5.64
PA-04,Partner,5.5
PA-05,Partner,5.09
PA-06,Partner,5.52
PA-07,Partner,5.46
PA-08,Partner,5.55
