date,transactions
2025-01-01,250.09
2025-01-02,266.98
2025-01-03,273.58
2025-01-04,272.62
2025-01-05,272.28
2025-01-06,269.78
2025-01-07,270.17
2025-01-08,263.64
2025-01-09,262.3
2025-01-10,259.43
2025-01-11,244.74
2025-01-12,241.44
2025-01-13,237.68
2025-01-14,239.99
2025-01-15,248.88
2025-01-16,260.32
2025-01-17,275.58
2025-01-18,283.51
2025-01-19,288.28
2025-01-20,288.55
2025-01-21,282.3
2025-01-22,260.62
2025-01-23,247.27
2025-01-24,250.58
2025-01-25,230.32
2025-01-26,231.23
2025-01-27,229.3
2025-01-28,234.21
2025-01-29,234.33
2025-01-30,233.88
2025-01-31,240.73
2025-02-01,250.07
2025-02-02,250.61
2025-02-03,266.78
2025-02-04,272.58
2025-02-05,272.72
2025-02-06,257.77
2025-02-07,251.8
2025-02-08,244.32
2025-02-09,225.99
2025-02-10,224.79
2025-02-11,220.2
2025-02-12,228.85
2025-02-13,238.57
2025-02-14,254.39
2025-02-15,267.21
2025-02-16,274.43
2025-02-17,282.61
2025-02-18,281.34
2025-02-19,281.24
2025-02-20,280.53
2025-02-21,273.39
2025-02-22,279.13
2025-02-23,272.03
2025-02-24,260.87
2025-02-25,254.36
2025-02-26,252.21
2025-02-27,242.97
2025-02-28,241.31
2025-03-01,254.37
2025-03-02,272.17
2025-03-03,279.71
2025-03-04,297.62
2025-03-05,295.06
2025-03-06,296.96
2025-03-07,292.37
2025-03-08,278.19
2025-03-09,263.08
2025-03-10,243.31
2025-03-11,237.5
2025-03-12,236.92
2025-03-13,246.11
2025-03-14,248.75
2025-03-15,246.91
2025-03-16,247.72
2025-03-17,255.7
2025-03-18,260.27
2025-03-19,261.93
2025-03-20,273.42
2025-03-21,275.1
2025-03-22,278.1
2025-03-23,274.94
2025-03-24,262.4
2025-03-25,253.32
2025-03-26,238.13
2025-03-27,230.86
2025-03-28,225.78
2025-03-29,234.35
2025-03-30,244.44
2025-03-31,257.87
2025-04-01,271.74
2025-04-02,284.81
2025-04-03,285.52
2025-04-04,290.57
2025-04-05,294.46
2025-04-06,284.51
2025-04-07,285.17
2025-04-08,287.9
2025-04-09,282.67
2025-04-10,273.09
2025-04-11,269.56
2025-04-12,250.42
2025-04-13,256.88
2025-04-14,259.99
2025-04-15,268.62
2025-04-16,276.08
2025-04-17,287.56
2025-04-18,299.82
2025-04-19,304.13
2025-04-20,305.17
2025-04-21,295.89
2025-04-22,283.11
2025-04-23,267.28
2025-04-24,256.43
2025-04-25,252.64
2025-04-26,245.92
2025-04-27,247.33
2025-04-28,250.3
2025-04-29,251.15
2025-04-30,256.78
2025-05-01,258.69
2025-05-02,267.42
2025-05-03,271.62
2025-05-04,277.73
2025-05-05,288.95
2025-05-06,286.06
2025-05-07,278.96
2025-05-08,279.54
2025-05-09,258.4
2025-05-10,245.53
2025-05-11,244.63
2025-05-12,239.13
2025-05-13,238.61
2025-05-14,258.06
2025-05-15,266.46
2025-05-16,286.93
2025-05-17,290.1
2025-05-18,298.21
2025-05-19,297.85
2025-05-20,303.12
2025-05-21,293.38
2025-05-22,293.16
2025-05-23,288.65
2025-05-24,295.43
2025-05-25,283.81
2025-05-26,269.75
2025-05-27,263.52
2025-05-28,265.18
2025-05-29,266.4
2025-05-30,270.18
2025-05-31,283.27
2025-06-01,294.69
2025-06-02,302.06
2025-06-03,313.59
2025-06-04,304.69
2025-06-05,303.73
2025-06-06,294.97
2025-06-07,274.62
2025-06-08,265.52
2025-06-09,254.19
2025-06-10,252.34
2025-06-11,257.51
2025-06-12,255.12
2025-06-13,253.81
2025-06-14,266.87
2025-06-15,262.98
2025-06-16,270.52
2025-06-17,279.49
2025-06-18,284.73
2025-06-19,295.3
2025-06-20,299.64
2025-06-21,290.09
2025-06-22,276.75
2025-06-23,268.06
2025-06-24,253.82
2025-06-25,248.53
2025-06-26,246.39
2025-06-27,250.95
2025-06-28,259.8
2025-06-29,275.05
