account_name,service_tier,revenue_growth_pct,retention_score
BAS-01,Basic,6.7,76
BAS-02,Basic,6.8,77
BAS-03,Basic,7.0,76
BAS-04,Basic,6.2,77
BAS-05,Basic,6.6,77
BAS-06,Basic,6.3,77
BAS-07,Basic,6.4,76
BAS-08,Basic,6.4,80
PRO-01,Professional,12.0,89
PRO-02,Professional,13.0,90
PRO-03,Professional,12.8,90
PRO-04,Professional,12.6,90
PRO-05,Professional,12.3,89
PRO-06,Professional,12.5,91
PRO-07,Professional,12.3,91
PRO-08,Professional,12.2,91
ENT-01,Enterprise,9.3,86
ENT-02,Enterprise,9.7,85
ENT-03,Enterprise,9.8,86
ENT-04,Enterprise,10.0,85
ENT-05,Enterprise,9.6,83
ENT-06,Enterprise,9.4,83
ENT-07,Enterprise,9.3,83
ENT-08,Enterprise,9.3,83
