ds,y
2024-01-01,778.63
2024-01-02,797.96
2024-01-03,807.44
2024-01-04,783.7
2024-01-05,745.5
2024-01-06,741.36
2024-01-07,754.22
2024-01-08,751.41
2024-01-09,762.94
2024-01-10,770.95
2024-01-11,755.9
2024-01-12,733.19
2024-01-13,708.3
2024-01-14,725.94
2024-01-15,732.52
2024-01-16,752.51
2024-01-17,748.45
2024-01-18,757.19
2024-01-19,723.49
2024-01-20,712.22
2024-01-21,728.45
2024-01-22,756.59
2024-01-23,754.01
2024-01-24,773.75
2024-01-25,774.78
2024-01-26,747.62
2024-01-27,723.54
2024-01-28,737.68
2024-01-29,759.53
2024-01-30,781.32
2024-01-31,800.77
2024-02-01,773.69
2024-02-02,744.56
2024-02-03,729.07
2024-02-04,725.04
2024-02-05,747.57
2024-02-06,770.44
2024-02-07,785.22
2024-02-08,749.57
2024-02-09,720.07
2024-02-10,723.75
2024-02-11,705.54
2024-02-12,728.19
2024-02-13,745.2
2024-02-14,747.19
2024-02-15,745.19
2024-02-16,708.92
2024-02-17,689.43
2024-02-18,704.11
2024-02-19,727.68
2024-02-20,753.38
2024-02-21,775.23
2024-02-22,748.89
2024-02-23,728.9
2024-02-24,714.13
2024-02-25,720.59
2024-02-26,748.14
2024-02-27,776.89
2024-02-28,767.47
2024-02-29,756.89
2024-03-01,741.24
2024-03-02,732.28
2024-03-03,722.71
2024-03-04,749.39
2024-03-05,772.68
2024-03-06,763.15
2024-03-07,733.45
2024-03-08,718.91
2024-03-09,696.63
2024-03-10,699.87
2024-03-11,729.74
2024-03-12,731.82
2024-03-13,749.34
2024-03-14,724.33
2024-03-15,701.22
2024-03-16,687.69
2024-03-17,690.34
2024-03-18,708.64
2024-03-19,739.49
2024-03-20,743.99
2024-03-21,732.46
2024-03-22,711.49
2024-03-23,687.86
2024-03-24,705.9
2024-03-25,745.6
2024-03-26,767.6
2024-03-27,767.08
2024-03-28,759.71
2024-03-29,730.13
2024-03-30,708.39
2024-03-31,706.77
2024-04-01,744.06
2024-04-02,759.84
2024-04-03,753.12
2024-04-04,737.38
2024-04-05,704.18
2024-04-06,687.74
2024-04-07,699.8
2024-04-08,727.15
2024-04-09,727.81
2024-04-10,730.45
2024-04-11,715.01
2024-04-12,690.69
2024-04-13,685.19
2024-04-14,689.13
2024-04-15,704.14
2024-04-16,719.65
2024-04-17,739.27
2024-04-18,724.76
2024-04-19,697.28
2024-04-20,686.19
2024-04-21,690.32
2024-04-22,710.72
2024-04-23,725.46
2024-04-24,750.59
2024-04-25,740.17
2024-04-26,705.9
2024-04-27,703.63
2024-04-28,702.69
2024-04-29,726.0
2024-04-30,741.83
2024-05-01,756.41
2024-05-02,730.6
2024-05-03,712.4
2024-05-04,697.74
2024-05-05,707.95
2024-05-06,716.84
2024-05-07,724.58
2024-05-08,726.58
2024-05-09,724.42
2024-05-10,683.86
2024-05-11,677.43
2024-05-12,642.53
2024-05-13,686.55
2024-05-14,702.95
2024-05-15,702.43
2024-05-16,691.88
2024-05-17,676.04
2024-05-18,662.36
2024-05-19,664.86
2024-05-20,694.51
2024-05-21,700.41
2024-05-22,734.0
2024-05-23,714.94
2024-05-24,685.67
2024-05-25,663.37
2024-05-26,690.39
2024-05-27,700.37
2024-05-28,739.08
2024-05-29,746.61
2024-05-30,728.42
2024-05-31,707.73
2024-06-01,684.68
2024-06-02,667.72
2024-06-03,721.39
2024-06-04,730.08
2024-06-05,721.82
2024-06-06,710.71
2024-06-07,676.52
2024-06-08,669.58
2024-06-09,660.51
2024-06-10,677.74
2024-06-11,699.39
2024-06-12,705.06
2024-06-13,689.62
2024-06-14,667.2
2024-06-15,647.53
2024-06-16,649.3
2024-06-17,670.16
2024-06-18,698.53
2024-06-19,707.9
2024-06-20,694.98
