date,day_index,active_accounts,usage_hours,support_tickets,release_flag,incident_flag,promo_flag,demand_score
2025-01-01,0,1175,3430.5,86,1,0,0,516.7
2025-01-02,1,1191,3626.4,85,1,0,0,545.29
2025-01-03,2,1190,3689.5,85,1,0,0,551.42
2025-01-04,3,1194,3604.1,85,1,0,0,538.54
2025-01-05,4,1203,3318.2,81,0,0,0,518.19
2025-01-06,5,1212,3223.9,90,0,0,0,503.56
2025-01-07,6,1221,3266.1,87,0,0,0,508.1
2025-01-08,7,1213,3407.9,80,0,0,0,540.5
2025-01-09,8,1223,3551.7,77,0,0,0,567.56
2025-01-10,9,1219,3568.7,79,0,0,0,569.22
2025-01-11,10,1215,3499.6,78,0,0,0,553.9
2025-01-12,11,1229,3307.2,82,0,0,0,524.06
2025-01-13,12,1212,3144.9,113,0,1,0,447.81
2025-01-14,13,1207,3149.6,109,0,1,0,445.88
2025-01-15,14,1213,3367.8,77,0,0,0,532.2
2025-01-16,15,1199,3508.7,77,0,0,0,545.37
2025-01-17,16,1211,3507.4,81,0,0,0,542.39
2025-01-18,17,1190,3405,78,0,0,0,535.61
2025-01-19,18,1195,3238,84,0,0,0,506.09
2025-01-20,19,1196,3154.6,87,0,0,0,487.72
2025-01-21,20,1190,3136.1,86,0,0,0,489.4
2025-01-22,21,1200,3269.2,80,0,0,0,513.03
2025-01-23,22,1185,3400.6,79,0,0,0,535.72
2025-01-24,23,1185,3494,79,0,0,0,542.26
2025-01-25,24,1197,3384.9,77,0,0,0,533.21
2025-01-26,25,1194,3241,81,0,0,1,531.51
2025-01-27,26,1210,3156,89,0,0,1,511.76
2025-01-28,27,1206,3180.9,87,0,0,1,515.01
2025-01-29,28,1219,3385.7,82,0,0,1,552.56
2025-01-30,29,1229,3541.5,77,0,0,1,584.97
2025-01-31,30,1233,3580.7,81,0,0,0,555.1
2025-02-01,31,1241,3515.9,77,0,0,0,555.68
2025-02-02,32,1254,3407.2,86,0,0,0,524.44
2025-02-03,33,1259,3328.2,89,0,0,0,508.75
2025-02-04,34,1260,3355.6,89,0,0,0,519.23
2025-02-05,35,1272,3511.7,78,0,0,0,553.01
2025-02-06,36,1271,3648.4,80,0,0,0,569.84
2025-02-07,37,1267,3714.5,78,0,0,0,578.7
2025-02-08,38,1280,3630.2,81,0,0,0,562.26
2025-02-09,39,1284,3479.3,82,0,0,0,537.4
2025-02-10,40,1279,3322.7,89,0,0,0,518.05
2025-02-11,41,1271,3412,86,0,0,0,523.44
2025-02-12,42,1278,3521.9,78,0,0,0,553.65
2025-02-13,43,1275,3615,79,0,0,0,561.82
2025-02-14,44,1269,3672.9,80,0,0,0,571.12
2025-02-15,45,1255,3649.4,88,1,0,0,548.27
2025-02-16,46,1266,3538.5,94,1,0,0,517.64
2025-02-17,47,1248,3405,96,1,0,0,496.2
2025-02-18,48,1250,3436.6,95,1,0,0,499.61
